property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,malibu towne,sector 47,2.4,10000.0,3,3,0,0.0,Moderately Old,2992.86,2667.0,2400.03,0,0,0,0,0,1,22
flat,emaar mgf emerald floors premier,sector 65,2.36,14303.0,3,3,3,2.0,Relatively New,1650.0,1524.0,1399.95,1,1,0,0,0,1,136
flat,puri diplomatic greens,sector 111,2.25,13235.0,3,3,2,12.0,Relatively New,1700.05,1539.0,1385.0,0,0,0,0,0,0,101
flat,signature andour heights,sector 71,0.6,10000.0,2,2,1,5.0,Relatively New,599.98,557.0,513.98,0,0,0,1,0,0,59
flat,bestech park view residency,sector 2,1.4,7865.0,3,3,3+,8.0,Moderately Old,1780.03,1611.0,1450.0,0,0,0,0,0,0,92
house,independent,sector 50,7.0,23333.0,4,4,2,3.0,Old Property,3777.65,3399.99,3000.01,0,1,0,0,0,0,118
house,independent,sector 17,0.32,22068.0,2,2,0,3.0,Moderately Old,160.0,144.99,130.0,0,0,0,0,0,0,0
flat,shree vardhman victoria,sector 70,1.1,8461.0,2,2,2,0.0,New Property,1299.96,1026.0,788.03,1,0,0,0,0,0,49
flat,ansal heights 86,sector 86,0.87,5367.0,2,2,1,12.0,New Property,1360.02,1231.0,1108.0,0,0,0,0,1,1,45
flat,gls avenue 51,sector 92,0.42,7106.0,2,2,1,4.0,Relatively New,737.16,657.0,591.05,1,0,0,1,0,1,42
flat,ats tourmaline,sector 109,1.4,8000.0,3,3,3+,9.0,Relatively New,1749.99,1584.0,1426.0,0,0,0,0,0,0,95
house,independent,sector 8,0.49,11250.0,6,3,2,3.0,Moderately Old,398.0,360.05,324.0,0,0,0,0,0,0,8
flat,sapphire eighty three,sector 83,0.65,9286.0,1,1,0,6.0,Relatively New,773.0,699.98,630.0,0,0,0,0,0,0,0
flat,antriksh heights,sector 84,0.6,5000.0,2,2,2,14.0,Relatively New,1199.96,1086.0,977.0,0,0,0,0,0,0,52
flat,dlf park place,sector 54,4.85,30180.0,3,4,3+,6.0,Moderately Old,1983.03,1784.98,1607.05,0,1,0,0,0,2,158
house,independent,sector 7,2.25,15625.0,3,3,2,2.0,Old Property,1591.0,1439.99,1296.0,0,0,0,0,0,1,27
flat,prime habitat,sector 99a,0.26,4745.0,2,2,1,6.0,Relatively New,685.78,611.0,550.04,0,0,0,0,1,0,79
flat,aipl the peaceful homes,sector 70a,2.5,11627.0,3,3,3+,15.0,Relatively New,2149.98,1723.0,1350.01,0,0,0,0,1,1,174
flat,la vida by tata housing,sector 113,2.7,16363.0,3,4,3+,4.0,Relatively New,2269.45,2217.04,1650.0,0,1,0,0,0,1,49
house,dlf city plots phase 2,sector 25,6.5,36111.0,5,5,3+,3.0,Old Property,1989.0,1800.05,1620.0,1,1,1,1,0,1,134
flat,bestech park view grand spa,sector 81,4.0,9523.0,4,5,3+,15.0,Relatively New,4199.97,3801.0,3421.0,0,1,0,0,0,1,127
flat,unitech uniworld gardens,sector 47,1.05,10531.0,2,2,2,3.0,Relatively New,1243.29,1108.0,996.95,0,0,0,0,0,1,34
flat,orris carnation residency,sector 85,0.9,4531.0,4,4,3,8.0,Moderately Old,1974.96,1574.97,1435.04,0,0,0,0,0,1,40
flat,indiabulls centrum park,sector 103,1.34,7882.0,3,3,3+,12.0,Relatively New,1725.02,1725.0,1700.05,1,1,1,1,0,1,38
flat,signature global grand iva,sector 103,0.3,8290.0,1,2,2,5.0,New Property,451.19,402.0,361.88,0,0,0,0,0,0,37
flat,vipul belmonte,sector 53,6.0,24489.0,3,4,3+,6.0,Moderately Old,2449.97,2217.0,1995.0,0,1,0,0,1,1,26
house,independent,sector 26,9.0,33333.0,5,5,2,3.0,Old Property,2984.0,2700.02,2430.0,1,1,1,1,0,2,110
house,independent,sector 3,1.5,10288.0,3,3,0,2.0,Old Property,2088.0,1890.03,1701.0,0,0,0,0,0,0,0
house,unitech espace,sector 50,10.3,31790.0,5,6,3+,3.0,Moderately Old,3580.0,3240.04,2916.0,1,1,1,1,0,1,160
flat,godrej,sector 79,2.5,11141.0,3,3,3+,5.0,Relatively New,2379.3,2243.95,1800.05,0,0,0,0,0,0,0
flat,smart world gems,sector 89,1.2,8432.0,3,3,2,3.0,New Property,1572.0,1422.99,1281.0,1,0,0,0,1,0,37
flat,signature global solera,sector 107,0.28,5674.0,2,2,2,6.0,Relatively New,609.57,543.0,489.0,0,0,0,0,0,0,45
