property_type,sector,price,bedRoom,bathroom,balcony,agePossession,super_built_up_area,servant room,furnishing_type,luxury_category,floor_category
flat,sector 47,2.4,3,3,0,Moderately Old,2992.86,No,semifurnished,Low,Low Floor
flat,sector 65,2.36,3,3,3,Relatively New,1650.0,Yes,semifurnished,Medium,Low Floor
flat,sector 111,2.25,3,3,2,Relatively New,1700.05,No,unfurnished,Medium,High Floor
flat,sector 71,0.6,2,2,1,Relatively New,599.98,No,unfurnished,Medium,Mid Floor
flat,sector 2,1.4,3,3,3+,Moderately Old,1780.03,No,unfurnished,Medium,Mid Floor
house,sector 50,7.0,4,4,2,Old Property,3777.65,Yes,unfurnished,Medium,Mid Floor
house,sector 17,0.32,2,2,0,Moderately Old,160.0,No,unfurnished,Low,Mid Floor
flat,sector 70,1.1,2,2,2,New Property,1299.96,No,unfurnished,Low,Low Floor
flat,sector 86,0.87,2,2,1,New Property,1360.02,No,semifurnished,Low,High Floor
flat,sector 92,0.42,2,2,1,Relatively New,737.16,No,semifurnished,Low,Mid Floor
flat,sector 109,1.4,3,3,3+,Relatively New,1749.99,No,unfurnished,Medium,Mid Floor
house,sector 8,0.49,6,3,2,Moderately Old,398.0,No,unfurnished,Low,Mid Floor
flat,sector 83,0.65,1,1,0,Relatively New,773.0,No,unfurnished,Low,Mid Floor
flat,sector 84,0.6,2,2,2,Relatively New,1199.96,No,unfurnished,Medium,High Floor
flat,sector 54,4.85,3,4,3+,Moderately Old,1983.03,Yes,furnished,High,Mid Floor
house,sector 7,2.25,3,3,2,Old Property,1591.0,No,semifurnished,Low,Low Floor
flat,sector 99a,0.26,2,2,1,Relatively New,685.78,No,unfurnished,Medium,Mid Floor
flat,sector 70a,2.5,3,3,3+,Relatively New,2149.98,No,semifurnished,High,High Floor
flat,sector 113,2.7,3,4,3+,Relatively New,2269.45,Yes,semifurnished,Low,Mid Floor
house,sector 25,6.5,5,5,3+,Old Property,1989.0,Yes,semifurnished,Medium,Mid Floor
flat,sector 81,4.0,4,5,3+,Relatively New,4199.97,Yes,semifurnished,Medium,High Floor
flat,sector 47,1.05,2,2,2,Relatively New,1243.29,No,semifurnished,Low,Mid Floor
flat,sector 85,0.9,4,4,3,Moderately Old,1974.96,No,semifurnished,Low,Mid Floor
flat,sector 103,1.34,3,3,3+,Relatively New,1725.02,Yes,semifurnished,Low,High Floor
